aX,aY,aZ,gX,gY,gZ
-0.128,-0.043,0.975,2.502,-1.709,21.912
-0.125,-0.032,0.960,2.380,-0.549,20.630
-0.124,-0.039,0.973,2.563,1.465,19.104
-0.122,-0.037,0.978,2.991,2.808,17.883
-0.117,-0.036,0.981,3.357,2.625,16.785
-0.123,-0.030,0.981,3.296,2.808,15.747
-0.116,-0.022,0.983,3.601,4.028,14.832
-0.109,-0.021,0.986,3.418,4.700,14.038
-0.111,-0.019,0.996,3.418,3.479,13.672
-0.104,-0.020,0.998,3.784,0.854,13.611
-0.114,0.007,0.990,3.723,-2.808,13.794
-0.099,0.036,0.984,4.150,-5.249,15.076
-0.113,0.021,0.973,4.089,-5.798,17.395
-0.136,-0.020,0.955,4.150,-4.150,19.104
-0.151,-0.054,0.966,3.540,-0.427,18.372
-0.127,-0.057,0.980,3.174,3.174,16.113
-0.116,-0.042,0.987,3.357,3.113,13.794

-0.014,-0.042,0.989,-0.366,1.160,-0.854
-0.020,-0.044,0.997,-0.610,-0.977,-2.319
-0.021,-0.063,0.998,-0.854,-2.930,-3.723
0.003,-0.065,0.997,-0.916,-6.104,-5.615
0.072,-0.042,0.897,-0.977,-9.033,-7.324
0.183,0.015,1.059,-0.244,-9.033,-7.507
0.087,-0.038,0.888,-1.648,-23.865,-6.409
0.118,-0.073,0.944,0.427,-11.108,-5.066
0.236,-0.051,1.001,2.686,1.465,-4.639
0.209,-0.024,0.975,3.540,0.000,-4.700
0.240,-0.020,0.978,3.723,-0.305,-5.310
0.259,0.000,0.981,3.540,1.831,-5.371
0.250,0.001,0.980,3.357,1.099,-4.700
0.209,-0.081,0.997,2.808,0.488,-6.042
0.240,-0.033,0.973,2.625,0.183,-6.958
0.272,0.011,0.986,2.991,1.099,-4.761
0.241,-0.011,0.982,3.418,-0.305,-1.770
0.214,-0.047,0.987,3.235,-0.610,0.427
0.206,-0.040,0.979,3.113,-0.610,1.648
0.211,0.001,0.982,3.113,-0.671,2.686
0.217,-0.020,0.981,3.113,-0.610,5.005
0.167,-0.038,0.981,2.991,-1.465,5.981
0.148,-0.059,0.989,3.235,-1.038,6.531
0.109,-0.077,0.976,3.296,-1.038,5.371
0.074,-0.078,0.983,3.479,-0.854,3.113
0.056,-0.067,0.982,3.357,-0.305,0.244
0.046,-0.030,0.973,2.991,-0.732,-2.136
0.028,-0.002,0.977,3.052,-1.526,-2.625
0.032,0.016,0.986,3.418,-1.770,-1.648
0.017,0.009,0.979,3.784,-2.319,0.000
-0.006,-0.008,0.981,3.845,-2.136,1.587
-0.029,-0.016,0.973,3.479,-1.648,2.930
-0.032,0.003,0.997,3.296,-1.465,4.333
-0.003,0.023,0.975,3.113,-0.854,6.836
-0.015,0.031,0.975,3.479,0.000,10.071
-0.032,-0.003,0.996,4.150,1.526,13.184
-0.069,-0.059,0.975,4.089,0.977,13.977
-0.075,-0.068,0.986,3.845,2.197,13.184
-0.071,-0.057,0.984,3.784,2.563,11.230
-0.049,-0.050,0.986,3.906,2.380,9.521
-0.185,-0.080,0.948,3.845,3.052,8.240
0.165,-0.071,1.045,2.747,10.620,6.104
-0.129,-0.002,0.951,4.456,-5.371,4.700
-0.028,0.004,0.980,4.089,-3.113,5.005
0.074,0.030,0.999,3.052,6.531,5.310
-0.064,0.044,0.962,4.089,-2.869,7.141
-0.002,0.016,1.001,3.357,3.662,8.667
0.105,0.033,0.997,2.808,5.676,9.216
-0.052,0.022,0.958,4.333,-9.216,11.230
-0.035,-0.005,0.964,3.906,-2.197,13.367
-0.061,-0.062,0.987,2.930,6.287,13.306
0.082,-0.082,1.010,2.869,4.333,10.132
-0.052,-0.056,0.971,3.601,-10.681,7.019
-0.050,-0.062,0.964,3.479,-7.751,5.981
-0.005,-0.062,0.994,3.052,1.038,5.005
-0.015,-0.054,0.983,3.113,-0.549,3.113
-0.001,-0.030,0.980,3.052,-2.258,1.465
0.019,0.023,0.980,2.991,-3.845,0.610
0.035,0.030,0.988,3.784,-5.188,1.953
0.032,0.032,0.979,4.211,-6.531,4.272
0.027,0.024,0.981,4.578,-6.714,6.348
0.019,0.002,0.992,5.127,-6.958,8.362
0.026,-0.001,0.972,5.066,-6.775,8.972
0.033,-0.001,0.978,4.822,-6.470,9.583
0.022,-0.021,0.991,4.883,-6.470,10.071
0.003,-0.077,0.988,5.371,-7.629,10.071
-0.038,-0.120,0.988,5.798,-8.606,8.484
-0.061,-0.135,0.982,5.615,-7.935,4.456
-0.047,-0.079,0.976,5.188,-6.287,0.183
