aX,aY,aZ,gX,gY,gZ
-0.142,0.136,0.234,3.418,-19.409,-17.700
-0.211,0.153,0.213,10.559,-19.226,-17.151
-0.244,0.123,0.158,15.015,-19.409,-16.663
-0.253,0.130,0.227,24.780,-22.644,-15.808
-0.280,0.116,0.414,38.513,-26.367,-14.587
-0.252,0.083,0.614,48.706,-24.231,-16.235
-0.191,0.037,0.732,49.072,-16.174,-20.386
-0.144,0.036,0.764,40.100,-10.193,-21.240
-0.140,0.101,0.799,29.419,-5.432,-19.592
-0.160,0.127,0.750,23.254,2.563,-17.212
-0.129,0.111,0.627,19.592,13.123,-15.381
-0.143,0.125,0.576,17.822,19.714,-13.123
-0.074,0.120,0.570,17.822,22.583,-11.841
0.012,0.137,0.622,16.968,20.874,-8.606
0.002,0.209,0.721,19.043,14.587,-3.296
0.013,0.233,0.801,28.076,13.428,0.793
-0.012,0.217,0.772,41.199,18.616,3.296
-0.119,0.163,0.715,56.091,28.137,5.066
-0.098,0.149,0.603,69.153,42.114,3.784
-0.069,0.180,0.623,85.022,49.744,4.761
-0.196,0.106,0.827,106.995,48.706,11.719
-0.289,0.038,0.923,123.779,47.363,12.512
-0.286,-0.083,1.167,135.010,30.823,10.864
-0.334,-0.189,1.374,124.268,5.127,16.602
-0.209,-0.240,1.357,89.478,3.845,9.216
-0.216,-0.033,1.085,42.358,0.854,7.996
-0.434,-0.052,0.861,26.184,24.475,6.348
-0.214,-0.074,0.902,40.283,68.054,3.174
-0.211,-0.156,1.109,63.721,98.938,-0.610
-0.346,-0.241,1.368,72.205,93.933,0.793
-0.387,-0.277,1.450,68.359,75.928,0.854
-0.312,-0.275,1.504,63.171,59.509,-3.540
-0.291,-0.325,1.500,61.523,53.955,-7.996
-0.168,-0.335,1.542,58.960,54.260,-11.108
-0.611,-0.350,1.615,56.763,33.630,-7.935
-0.528,-0.502,1.811,59.326,33.325,-15.076
-0.343,-0.512,1.989,56.396,36.743,-24.536
-0.435,-0.477,1.946,42.053,32.776,-24.536
-0.386,-0.454,1.929,33.020,47.791,-30.457
-0.308,-0.394,1.890,25.330,66.589,-35.767
-0.368,-0.423,1.786,14.771,77.698,-38.635
-0.327,-0.430,1.570,-1.282,85.815,-43.701
-0.332,-0.400,1.295,-15.259,77.332,-49.072
-0.092,-0.351,1.087,-15.198,55.420,-55.725
0.166,-0.251,0.968,-1.343,30.701,-50.110
0.201,-0.230,0.924,14.893,4.028,-35.706
0.254,-0.227,0.999,31.311,-11.230,-22.034
-0.023,-0.336,1.085,49.744,-25.879,-8.301
-0.236,-0.419,1.080,59.021,-35.706,-1.709
-0.306,-0.439,1.082,63.782,-44.067,-4.089
-0.249,-0.460,1.143,66.040,-41.138,-10.254
0.822,-0.825,4.000,-54.749,11.475,-11.047
-1.080,0.657,2.363,-326.050,-111.694,-33.508
-0.548,0.333,0.205,-99.609,-139.404,-34.851
0.652,-0.250,1.351,30.762,35.095,-80.200
-0.238,0.106,0.853,-8.484,7.568,-41.138
-0.017,-0.030,0.985,-12.695,-1.160,-36.194
-0.023,-0.190,0.948,3.113,16.724,-31.738
-0.066,-0.224,0.876,-15.259,2.258,-21.240
-0.046,-0.227,0.959,-32.104,-3.845,-11.841
-0.143,-0.176,1.000,-43.518,-6.165,-5.371
-0.163,-0.075,0.995,-38.025,-0.061,-0.122
-0.158,-0.145,0.999,-19.897,10.254,2.991
-0.175,-0.089,0.976,-15.198,13.428,5.920
-0.142,-0.081,0.983,-9.277,14.221,7.019
-0.136,-0.077,0.994,-6.226,15.564,6.958
-0.087,-0.047,1.033,-4.944,15.930,6.042
-0.102,-0.070,0.995,-2.319,9.155,4.028
-0.122,-0.050,0.981,-3.357,3.174,3.235
-0.103,-0.040,0.976,-3.906,2.319,2.991
-0.111,-0.038,0.960,-3.113,1.587,1.953
-0.123,-0.051,0.945,-0.977,2.563,1.770
-0.167,-0.057,0.869,0.000,7.690,1.404
-0.085,-0.037,0.996,-0.732,22.644,1.587
-0.093,-0.066,0.989,-0.793,26.733,2.014
-0.087,-0.034,0.943,-3.601,26.245,2.319
-0.150,-0.063,0.956,-4.272,32.166,2.075
-0.059,-0.050,1.038,-6.897,39.429,0.977
-0.064,-0.039,0.995,-6.226,33.813,-1.465
-0.040,-0.020,1.000,-5.188,27.832,-0.671
-0.068,-0.035,0.992,-3.479,22.522,1.221
-0.063,-0.035,1.006,-2.808,18.372,2.136
-0.059,-0.031,0.999,-1.099,13.428,2.930
-0.071,-0.045,0.981,0.366,8.850,3.113
-0.062,-0.027,0.976,0.549,7.507,2.441
-0.083,-0.047,0.980,1.099,6.775,1.831

-0.269,-0.099,0.925,12.878,-10.132,-8.301
-0.309,-0.113,0.927,1.831,-10.071,-10.010
-0.300,-0.117,0.932,-8.972,-6.470,-12.878
-0.266,-0.042,0.853,-20.020,-3.540,-14.771
-0.197,-0.002,0.857,-21.790,0.061,-16.235
0.263,0.328,0.035,-17.822,3.906,-14.099
0.039,0.075,0.236,29.480,-2.869,1.221
-0.102,-0.116,0.643,61.096,-8.240,7.263
-0.197,-0.105,0.745,41.260,-2.991,8.545
-0.167,-0.066,0.652,15.747,4.272,5.005
-0.097,-0.038,0.488,2.502,10.315,-1.343
-0.078,-0.021,0.316,-1.343,5.676,-5.127
-0.085,0.004,0.183,1.648,-6.409,-9.521
-0.068,0.003,0.091,8.972,-20.020,-15.991
-0.042,0.015,0.088,18.921,-33.569,-21.423
0.042,0.032,0.113,27.405,-42.175,-24.963
0.155,0.070,0.120,29.724,-42.786,-25.635
0.255,0.114,0.140,29.541,-37.537,-21.667
0.316,0.116,0.198,28.809,-31.250,-13.855
0.298,0.077,0.251,25.574,-25.146,-2.869
0.174,0.019,0.267,16.296,-15.381,8.850
0.000,-0.036,0.242,5.371,2.197,17.029
-0.094,-0.049,0.214,-0.671,23.865,18.982
-0.197,-0.092,0.253,0.732,35.461,18.433
-0.295,-0.132,0.311,4.272,34.546,16.296
-0.355,-0.125,0.411,7.324,25.208,10.742
-0.374,-0.157,0.555,12.695,11.536,2.319
-0.355,-0.171,0.642,9.583,3.662,-6.714
-0.266,-0.121,0.664,-2.258,9.399,-16.602
-0.192,-0.105,0.633,-14.709,25.757,-22.766
-0.194,-0.081,0.492,-27.405,45.898,-24.231
-0.179,0.005,0.268,-36.865,63.232,-23.499
-0.190,0.042,0.164,-30.823,66.284,-21.667
-0.162,0.034,0.317,-11.658,58.411,-21.545
-0.201,-0.038,0.615,7.202,51.270,-23.010
-0.297,-0.117,0.836,11.353,50.659,-23.499
-0.321,-0.146,0.872,0.977,56.152,-26.733
-0.243,-0.096,0.750,-12.817,64.453,-32.471
-0.138,0.004,0.612,-18.616,72.693,-37.415
-0.070,0.030,0.613,-10.437,74.646,-36.682
-0.113,0.023,0.713,2.319,70.374,-35.217
-0.143,0.002,0.831,9.644,70.129,-35.645
-0.128,-0.010,0.924,9.705,75.195,-37.720
-0.129,-0.001,1.015,5.554,81.360,-38.330
-0.146,-0.004,1.055,-2.441,90.210,-38.940
-0.160,-0.016,0.964,-12.146,98.755,-39.856
-0.135,0.016,0.847,-17.517,93.323,-40.283
-0.070,-0.001,0.850,-10.498,68.909,-41.016
0.066,0.003,0.947,-0.305,39.551,-41.504
0.228,-0.011,0.960,4.272,16.968,-38.635
0.276,0.106,0.901,1.465,4.639,-30.273
0.199,0.044,1.042,0.122,3.418,-18.494
0.067,0.026,0.907,-5.005,10.437,-8.057
-0.378,0.079,0.901,-1.526,27.649,-9.766
0.198,-0.133,1.103,15.198,45.654,-14.160
-0.097,0.016,1.163,23.621,43.152,-20.874
0.164,0.057,1.102,19.043,54.260,-22.217
0.160,-0.049,1.307,20.691,74.036,-18.188
0.131,-0.144,1.558,29.175,78.796,-10.620
-0.130,-0.359,1.785,35.706,62.561,-5.920
-0.141,-0.329,1.760,24.353,28.564,-9.094
-0.065,-0.253,1.758,18.860,7.263,-19.226
0.059,-0.171,1.726,17.822,1.221,-24.841
0.162,-0.086,1.593,7.874,3.418,-21.484
0.167,-0.043,1.435,2.991,10.559,-15.930
0.132,-0.025,1.317,6.470,9.460,-9.399
-0.024,-0.110,1.169,19.653,-1.648,-4.272
0.147,-0.050,1.635,51.453,4.089,-15.930
-0.045,-0.264,1.949,61.829,-7.202,-7.385
-0.026,-0.233,1.981,36.377,11.597,-6.042
-0.001,-0.194,1.862,13.611,23.437,-7.141
-0.108,-0.199,1.700,10.620,5.859,-7.385
-0.064,-0.105,1.569,14.221,-22.217,-7.996
-0.032,-0.068,1.474,22.766,-42.908,-5.798
0.039,-0.024,1.389,27.222,-56.458,3.296
-0.280,-0.077,1.179,26.245,-56.091,12.573
0.060,-0.005,1.274,37.598,-4.333,-1.831
1.110,-0.136,4.000,89.905,-57.983,-1.587
-2.343,-2.323,4.000,112.732,-361.267,20.935
0.160,0.789,-0.526,-335.571,-45.898,-38.391
-0.441,1.323,-1.516,-306.091,99.731,-92.407
-0.402,0.801,0.243,-59.265,87.769,-20.813
-0.318,-0.567,2.049,165.894,54.260,-17.029
-0.004,-0.501,2.137,82.581,37.048,-25.330
0.030,0.079,0.608,-91.309,50.964,-19.958
-0.018,0.231,0.003,-103.394,78.918,-12.634
-0.263,-0.170,0.683,-0.977,102.783,-5.493
0.017,-0.587,1.863,39.001,126.831,-13.367
0.183,-0.546,1.718,3.540,66.284,-34.485
0.281,0.212,0.550,-60.730,14.648,-31.494
0.161,0.082,0.865,-30.701,2.869,-19.531
0.003,-0.117,1.172,3.235,-2.258,-5.493
0.023,0.039,0.903,-10.620,0.732,-0.854
0.029,0.033,0.899,-6.226,1.099,2.808
0.035,-0.041,1.026,6.531,0.732,5.249
0.050,-0.036,0.991,5.066,0.305,6.836
0.055,-0.035,0.969,1.526,-0.977,7.935
0.042,-0.024,0.985,1.038,-2.197,7.935
0.025,0.002,0.967,0.122,-3.113,7.507
0.030,0.033,0.968,0.610,-3.357,6.165
0.027,0.036,0.975,3.235,-3.479,4.883
0.027,0.034,0.969,4.639,-3.418,4.395
0.028,0.037,0.947,5.493,-2.502,4.639
0.032,0.022,0.966,8.545,-1.526,5.493
0.027,-0.009,0.994,11.169,-0.732,6.409
0.043,-0.026,0.990,10.803,-0.244,7.385
0.031,-0.024,0.986,8.789,-0.427,8.789
0.024,-0.022,0.989,8.484,-0.488,8.606
0.026,-0.013,0.982,7.690,-0.122,7.751
0.031,0.000,0.982,6.897,0.183,7.263
0.036,0.016,0.967,6.165,0.122,7.019
0.036,0.033,0.966,6.531,-0.061,7.141
0.035,0.027,0.964,8.484,0.183,6.592
0.063,0.003,0.961,10.864,0.671,5.676
0.050,-0.012,0.979,11.841,-0.061,5.554
0.048,-0.020,0.992,10.620,-1.038,5.798
0.042,-0.012,0.975,8.057,-1.587,5.249
0.033,-0.013,0.977,6.958,-2.319,4.272
0.029,-0.010,0.973,6.409,-2.808,3.357

-0.216,-0.014,0.776,-19.897,0.793,-3.296
-0.173,0.020,0.653,-27.100,2.197,-3.906
-0.129,-0.092,0.832,-21.301,0.000,-4.883
0.041,0.176,0.339,-26.428,-4.272,-2.991
-0.069,0.195,0.070,-0.366,-13.123,4.944
-0.175,-0.026,0.297,49.927,-19.409,9.460
-0.183,-0.017,0.486,60.974,-15.930,7.019
-0.246,-0.077,0.632,57.800,-15.320,4.822
-0.255,-0.084,0.614,43.152,-8.301,2.563
-0.231,-0.064,0.541,23.865,1.221,0.061
-0.227,-0.058,0.461,7.690,5.737,-0.916
-0.256,-0.055,0.370,-4.639,4.883,-0.488
-0.285,-0.057,0.373,-10.620,1.221,-1.282
-0.264,-0.031,0.346,-16.174,0.061,-4.089
-0.190,0.017,0.317,-20.020,-0.244,-7.141
-0.131,0.029,0.380,-18.616,-2.014,-8.606
-0.108,-0.011,0.444,-18.005,-3.784,-7.935
-0.072,0.003,0.447,-24.658,-6.287,-6.836
-0.006,0.056,0.495,-31.067,-8.423,-5.981
-0.016,0.051,0.601,-30.884,-9.705,-4.578
-0.108,-0.003,0.684,-29.602,-10.620,-3.174
-0.167,-0.000,0.662,-32.776,-8.606,-3.418
-0.226,0.028,0.558,-34.180,-3.540,-5.859
-0.247,0.066,0.420,-28.625,0.427,-10.132
-0.217,0.114,0.320,-17.212,0.488,-14.404
-0.138,0.145,0.354,-4.639,0.977,-18.860
-0.037,0.129,0.440,4.822,3.174,-21.179
-0.011,0.110,0.529,5.676,3.845,-19.775
-0.042,0.040,0.605,0.305,5.554,-16.724
-0.066,0.014,0.631,-10.681,8.301,-15.564
-0.078,0.021,0.666,-21.423,10.803,-16.235
-0.094,0.035,0.734,-29.053,15.930,-16.724
-0.131,0.047,0.789,-36.499,26.428,-17.151
-0.193,0.051,0.749,-43.823,38.635,-17.944
-0.203,0.078,0.663,-46.021,47.241,-19.592
-0.160,0.118,0.581,-38.940,47.974,-21.423
-0.098,0.136,0.539,-24.048,39.246,-20.874
-0.078,0.142,0.525,-7.629,27.222,-18.005
-0.100,0.116,0.589,6.897,20.264,-14.099
-0.142,0.102,0.701,15.930,20.691,-11.536
-0.159,0.076,0.814,20.630,28.809,-11.047
-0.178,0.050,0.887,19.714,38.940,-10.132
-0.177,0.039,0.912,14.832,49.805,-9.949
-0.157,0.053,0.911,9.888,58.777,-10.437
-0.136,0.062,0.907,8.667,63.171,-11.780
-0.110,0.053,0.850,10.193,63.171,-13.550
-0.051,0.082,0.776,10.193,56.885,-15.442
-0.042,0.092,0.740,14.099,46.326,-15.076
-0.012,0.105,0.707,20.874,39.185,-13.855
0.004,0.093,0.698,26.001,33.691,-11.475
-0.018,0.077,0.778,30.334,31.677,-8.057
-0.040,0.069,0.898,31.982,40.405,-5.493
-0.046,0.047,1.010,32.349,58.167,-4.883
-0.055,0.017,1.084,31.494,73.486,-4.456
-0.050,-0.017,1.076,29.297,76.111,-4.761
-0.035,-0.027,1.046,25.696,67.139,-6.226
-0.057,-0.026,0.985,22.034,53.101,-8.362
-0.092,-0.033,0.890,20.020,40.161,-11.353
-0.046,0.014,0.810,21.851,30.334,-16.296
-0.012,0.033,0.792,29.541,26.489,-20.508
0.041,0.024,0.865,39.734,27.893,-22.156
0.087,-0.007,1.073,41.626,31.128,-20.508
0.077,-0.037,1.165,29.663,38.086,-15.747
0.245,-0.011,1.144,9.521,45.105,-13.428
-0.106,0.063,0.889,-4.883,33.325,-10.071
0.151,0.161,0.782,4.761,40.588,-17.944
0.130,0.055,1.073,33.630,33.203,-21.790
0.067,0.053,1.228,39.063,4.944,-18.005
-0.234,-0.001,1.226,33.691,-6.287,-17.944
0.111,-0.095,1.194,32.410,-1.770,-22.400
-0.076,-0.030,1.132,34.058,-2.380,-27.832
0.044,-0.011,1.172,33.997,-0.183,-29.541
0.139,-0.013,1.340,38.696,16.785,-31.067
0.141,-0.062,1.485,35.278,30.273,-26.367
0.075,-0.089,1.431,23.560,44.250,-20.691
0.101,-0.079,1.304,17.822,49.255,-20.142
0.177,-0.066,1.366,27.527,39.246,-22.156
0.232,-0.108,1.688,45.471,20.386,-20.325
0.180,-0.150,2.018,49.316,4.822,-14.954
0.058,-0.227,2.104,34.546,3.723,-11.292
-0.016,-0.194,1.863,8.179,10.315,-11.169
-0.082,-0.119,1.517,-7.507,12.085,-14.221
-0.007,-0.041,1.377,-0.488,12.512,-20.264
0.071,-0.041,1.464,16.235,10.315,-21.484
0.084,-0.036,1.438,21.912,12.512,-17.090
0.047,-0.017,1.435,20.874,18.982,-11.414
0.311,-0.074,1.687,32.227,20.325,-9.338
0.103,-0.200,1.831,36.133,12.573,-11.658
0.131,-0.099,1.809,26.062,3.479,-11.108
0.193,-0.095,1.874,21.606,1.343,-7.812
0.177,-0.069,1.864,13.245,-11.841,-1.038
0.031,-0.128,1.801,8.240,-37.781,7.568
-0.132,-0.178,1.621,2.075,-50.598,9.399
-0.119,-0.087,1.294,-13.916,-39.734,4.333
-0.076,-0.019,1.036,-19.043,-20.813,-1.709
-0.057,-0.021,0.940,-8.972,-11.841,-2.991
-0.066,-0.048,0.871,1.160,-5.737,-1.038
-0.043,-0.019,0.880,7.996,-5.737,2.625
-0.082,-0.099,1.082,23.315,-9.094,4.517
-0.115,-0.178,1.245,30.579,-15.015,5.432
-0.076,-0.144,1.269,20.935,-18.311,4.639
-0.073,-0.119,1.227,12.512,-14.709,3.906
-0.065,-0.117,1.196,10.559,-7.324,1.953
-1.065,-0.902,3.794,8.667,3.113,-1.099
0.032,-0.502,2.809,-112.427,64.697,-6.104
-0.327,0.414,-0.374,-198.853,20.386,-48.950
0.229,0.591,0.167,-53.223,-35.645,-56.152
0.153,0.105,1.418,37.476,8.057,-28.442
-0.225,-0.199,1.460,18.555,16.602,-5.005
-0.015,0.231,0.728,-37.109,7.812,-8.972
0.137,0.211,0.668,-18.982,4.211,-13.672
0.005,-0.019,1.021,18.982,0.549,-6.287
-0.058,-0.098,1.108,17.639,2.563,-0.732
0.058,-0.047,1.017,1.099,1.953,-1.404
0.041,-0.024,0.945,-8.118,-0.977,1.282
0.035,-0.042,0.967,-5.615,-1.282,3.601
0.030,-0.049,1.007,-2.258,-1.404,3.845
0.061,-0.023,0.970,-3.784,-1.282,3.845
0.059,-0.007,0.947,-3.967,-0.427,4.150

-0.187,-0.164,0.828,-23.682,11.963,5.798
-0.181,-0.113,0.755,-40.955,14.893,3.296
-0.058,-0.063,0.607,-52.002,16.052,0.488
0.012,0.038,0.248,-49.011,13.489,2.991
-0.055,-0.013,0.445,-20.386,8.728,5.127
0.032,-0.084,0.101,-2.869,10.437,4.822
0.020,0.058,-0.053,25.635,12.329,3.113
-0.019,-0.198,0.417,63.965,7.202,4.333
-0.000,-0.199,0.796,53.589,2.869,4.761
0.008,-0.164,0.743,14.648,1.221,5.005
-0.025,-0.150,0.515,-13.977,0.427,4.272
-0.045,-0.123,0.291,-26.855,0.122,0.793
-0.051,-0.090,0.192,-27.222,-2.319,-3.540
-0.068,-0.079,0.244,-20.569,-7.202,-8.850
-0.073,-0.088,0.260,-16.235,-13.977,-15.137
-0.092,-0.057,0.136,-18.005,-25.085,-21.667
-0.071,0.007,0.008,-16.602,-42.114,-29.053
-0.002,0.058,0.059,-5.005,-61.035,-36.560
0.106,0.065,0.152,6.958,-75.684,-41.016
0.185,0.109,0.221,8.667,-84.534,-39.124
0.178,0.120,0.310,6.165,-84.534,-31.982
0.138,0.090,0.328,0.427,-73.853,-23.193
0.055,0.067,0.259,-9.949,-57.739,-14.404
-0.070,0.066,0.200,-17.334,-40.039,-6.714
-0.204,0.056,0.266,-17.700,-20.508,-3.784
-0.309,0.017,0.333,-17.456,1.709,-5.798
-0.352,0.067,0.281,-25.635,23.376,-11.353
-0.353,0.143,0.175,-32.776,38.574,-18.005
-0.312,0.183,0.087,-31.738,47.607,-24.475
-0.226,0.235,0.152,-24.353,54.565,-30.396
-0.228,0.164,0.329,-12.146,61.096,-33.752
-0.250,0.113,0.389,-6.897,63.721,-34.180
-0.253,0.138,0.438,-6.287,60.730,-33.752
-0.270,0.063,0.592,1.648,58.899,-33.875
-0.369,-0.033,0.615,3.418,61.890,-34.729
-0.372,0.033,0.549,-2.930,73.364,-40.710
-0.255,0.065,0.652,1.160,90.210,-48.767
-0.240,0.011,0.890,12.329,99.731,-54.016
-0.269,-0.019,0.983,9.644,102.966,-55.969
-0.256,0.007,0.879,-0.977,100.586,-57.678
-0.178,0.058,0.771,-0.732,90.759,-60.974
-0.073,0.099,0.775,13.428,77.393,-61.951
-0.013,0.101,0.907,31.128,65.308,-59.631
